Name_source,Name_English,Name_Indo,Name_Other,Manager,Investor_1,Investor_2,Sources
Karawang Jabar Industrial Estate,Karawang Jabar Industrial Estate,,,PT. Karawang Jabar Industrial Estate,,,"https://dinamikaonline.com/2020/07/22/pt-karawang-jabar-industrial-estate-kjie-sedang-kasak-kusuk/
https://investasi.kontan.co.id/news/karawang-jabar-industrial-estate-tunda-bayar-bunga-surat-utang-rp-457-miliar
https://kemenperin.go.id/kawasan
(Archived link, 6/8/23) https://web.archive.org/web/20230608114439/https://batiproperti.com/komersil/karawang-jabar-industrial-estate/
https://www.beritasatu.com/ekonomi/661495/kjie-hadirkan-rolling-hills-perumahan-berkualitas-dunia-di-karawang"
Kertajati Industrial Estate Majalengka,,Kertajati Industrial Estate Majalengka,,PT. Dwipapuri Abadi,,,"https://www.scribd.com/document/508072579/BROSUR-KIEM#
https://directorsdirectory.com/kertajati-industrial-estate-majalengka/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.kiem.co.id/
https://www.scribd.com/document/551209029/KERTAJATI-INDUSTRIAL-ESTATE-MAJALENGKA"
Kota Bukit Indah Industrial City,Kota Bukit Indah Industrial City,,,PT. Besland Pertiwi,Taisei,,"https://directorsdirectory.com/kota-bukit-indah-industrial-estate/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.kotabukitindah.com/home
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.kotabukitindah.com/facilities/infrastructure
https://jaspens.wordpress.com/2012/02/21/tatajabar-sejahtera-vacancy/
https://ulasan.co/pln-dan-aruna-bangun-plts-100-mwp-terbesar-di-indonesia/
https://www.openstreetmap.org/way/708321376#map=17/-6.43774/107.45410
https://business-indonesia.org/files/estates/1ZCdV959eeOPhlv4w48N5A2QNRpYDH2wVQxBqOYI.pdf"
Kawasan Industri Lion,,Kawasan Industri Lion,,PT. Singa Purwakarta Jaya,,,"https://www.lionmetal.co.id/images/pdf/annual/Laporan%20Tahunan%20PT%20Lion%20Metal%20Works%20Tbk%202021%20Koreksi.pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://lion-industrial-park.com/en/
https://www.lionmetal.co.id/
https://directorsdirectory.com/lion-industrial-park/
https://www.liputan6.com/bisnis/read/3354885/pgn-alirkan-gas-bumi-ke-kawasan-industri-terintegrasi-jiipe-gresik"
Kawasan Industri SKI,,Kawasan Industri SKI,,PT. Sumber Karja International,,,"https://molindo.co.id/en/company/history
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.sumberkitaindah.co.id/en/home/about"
Kawasan Industri MOS/Jatiluhur Industrial Smart City,Jatiluhur Industrial Smart City,Kawasan Industri MOS,,PT. Multi Optima Sentosa,,,"https://www.constructionplusasia.com/id/jatiluhur-industrial-smart-city/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.jisc.co.id/
https://www.jisc.co.id/utilities/#electricity"
Suryacipta Subang Smartpolitan,Suryacipta Subang Smartpolitan,,,"PT. Bumi Aman Sejahtera, PT. Surya Siti Indotama, PT. Aneka Bumi Citpta, PT. Jasa Semesta Utama",,,"https://www.hannovermesse.de/apollo/hannover_messe_2023/obs/Binary/A1255615/Suryacipta%20%20Smartpolitan%20R42_HM.pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://suryacipta.com/en/subang/
https://ekonomi.bisnis.com/read/20230412/47/1646032/suryacipta-pln-akan-bentuk-jv-sediakan-setrum-hijau-di-subang-smartpolitan
https://suryacipta.com/en/news/renewableenergysolarpanel/
https://bandung.bisnis.com/read/20201105/550/1313833/jelajah-segitiga-rebana-iii-menyala-untuk-rebana"
Kawasan Industri Taifa,,Kawasan Industri Taifa,,PT. Taifa Jaya,Meiloon,,"https://www.reuters.com/article/meiloon-brief/brief-taiwans-meiloon-industrial-board-approves-unit-to-invest-17-mln-to-set-up-company-in-indonesia-idINL3N0KD14Q20140103
https://lokersubang.com/pt-meiloon-technology-indonesia-subang.html
https://pasundan-jabarekspres-com.translate.goog/2022/03/23/baru-ada-satu-perusahaan-kawasan-industri-taifa-belum-kunjung-beroperasi/?_x_tr_sl=id&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
https://kemenperin.go.id/kawasan
(Archived link, 6/25/22) https://web.archive.org/web/20220625071751/http://www.meiloon.com.tw/about.php
https://bandung.bisnis.com/read/20201105/550/1313833/jelajah-segitiga-rebana-iii-menyala-untuk-rebana"
Kawasan Industri Cikembar,,Kawasan Industri Cikembar,,PT. Bogorindo Cemerlang (Subsidiary of OlympicGroup),,,"https://radarsukabumi.com/kabupaten-sukabumi/hadirkan-kesejahteraan-masyarakat-pt-bogorindo-cemerlang-resmikan-marketing-gallery-di-kawasan-industri-cikembar-sukabumi/ 
https://radarsukabumi.com/berita-utama/kejari-kabupaten-sukabumi-kembali-garap-kasus-eks-hgu-pt-tenjojaya/
https://jurnalsukabumi.com/2021/12/28/pt-bogorindo-cemerlang-siap-penuhi-undangan-berlin-pertemuan-di-dprd-tidak-ada-undangan/
(Broken) https://investasi-sukabumikab-go-id.translate.goog/industri.html?_x_tr_sl=id&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
http://indofakta.com/html/news_10112.html
https://www.seputarjagatmp.com/2021/09/25/masyarakat-penggarap-menuntut-kejelasan-status-hak-kepemilikan-tanah-yang-dihuni-puluhan-tahun/
https://matainvestigasi.com/2022/06/27/kkri-didesak-percepat-rekomendasi-ambil-alih-korupsi-pt-bogorindo-dilahan-eks-hgu-tenjojaya/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://kawasanindustricikembar.co.id/#
(Broken) https://www.facebook.com/kawasanindustri.cikembar/
https://olympicfurniture.co.id/"
Kawasan Industri Rancaekek,,Kawasan Industri Rancaekek,,PT. Dwipapuri Abadi,,,"https://bandung.kompas.com/read/2023/02/06/114421178/muka-air-tanah-di-bandung-turun-hingga-60-persen-industri-diduga-jadi
https://www.dwipapuri-abadi.com/siteplan.html"
KITB / Kawasan Industri Terpadu Batang / Grand Batang City,Grand Batang City,Kawasan Industri Terpadu Batang,,PT. Kawasan Industri Terpadu Batang,,,"https://qrcgcustomers.s3-eu-west-1.amazonaws.com/account15335326/32086426_1.pdf?0.6993143862403925
https://jatengprov.go.id/beritadaerah/kawasan-industri-batang-ditarget-rampung-2024/
https://hki-industrialestate.com/members
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.grandbatangcity.co.id/
(Archived link, 11/26/23) https://web.archive.org/web/20231129122158/https://grandbatangcity.co.id/copy-of-industrial-development
https://www.grandbatangcity.co.id/resources-product#annual
https://www.grandbatangcity.co.id/industrial-factory
https://www.grandbatangcity.co.id/advantage-physical
https://grandbatangcity.co.id/resources-product"
Kawasan Industri Segajung / Batang Industrial Park,Batang Industrial Park,Kawasan Industri Segajung,,PT. Perkebunan dan Industri Segajung (and PT Intiland Development Tbk),LG Energy Solution,Foxconn Technology Group,"https://www.youtube.com/watch?v=4u5yD1PY1Xc&t=12s&ab_channel=IntilandDevelopment
https://oss.go.id/informasi/lokasi-usaha?tab=ki&page=1
https://www.intiland.com/en/intiland-is-developing-a-new-industrial-estate-batang-industrial-park/ 
https://www.straitstimes.com/asia/se-asia/world-s-largest-ev-maker-byd-to-build-bus-assembly-and-battery-plant-in-indonesia
https://jakartaglobe.id/business/foxconn-chooses-c-javas-batang-industrial-complex-for-8b-project-in-ev-ecosystem
https://www.reuters.com/breakingviews/skoreas-lg-energy-solution-launches-nickel-processing-plants-indonesia-2022-06-08/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.batangindustrialpark.com/en/
https://www.batangindustrialpark.com/en/about-us/"
Kawasan Industri Cilacap,,Kawasan Industri Cilacap,,PT. Kawasan Industri Cilacap,,,"(Broken) https://www.facebook.com/kawasanindustricilacap/
(Broken) https://kawasanindustricilacap.com/musyawarah-penetapan-bentuk-ganti-kerugian/
https://bercahayafm.cilacapkab.go.id/cilacap-industrial-park-segera-dibangun-tarik-investor-hingga-serap-ribuan-pekerja/
https://jatengprov.go.id/beritadaerah/bangun-kawasan-industri-cilacap-jalin-kerja-sama-investasi-triliunan-rupiah/
(Archived link, 3/3/24) https://web.archive.org/web/20240303215957/https://kawasanindustricilacap.com/"
Jatengland Industrial Park Sayung / Jawa Tengah Lahan Andalan,Jatengland Industrial Park Sayung / Jawa Tengah Lahan Andalan,,,PT. Jawa Tengah Lahan Andalan,,,"https://ensiklopediajawatengah.com/web/en/content/jatengland-industrial-park-of-sayung/
https://jateng.antaranews.com/berita/472013/makuku-bangun-pabrik-pertama-di-demak-jateng
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Broken) http://www.jatengland.com
(Broken) http://jatengland.com/about-us/
https://business-indonesia.org/files/estates/5azg5QZaXCZmsiMbzy9xubF4hGyJ8uTEHR0ipjeJ.pdf"
Kawasan Industri Kendal,,Kawasan Industri Kendal,,PT. Kawasan Industri Kendal,Sembcorp,Jababeka,"https://www.channelnewsasia.com/singapore/lawrence-wong-indonesia-central-java-kendal-visit-industry-2692691
https://hki-industrialestate.com/members
https://radarsemarang.jawapos.com/kendal/722753176/lahan-kawasan-industri-kendal-bakal-ditambah-1200-hektare
https://en.antaranews.com/news/240981/kendal-sez-presents-attractive-investment-opportunity-in-c-java
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.kendalindustrialpark.co.id/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://industri.kontan.co.id/news/united-power-siap-bangun-pembangkit-di-ki-kendal
https://metrojateng.com/2023/11/05/kerjasama-dengan-united-power-pln-siap-pasok-listrik-untuk-kendal-industrial-park/"
Kawasan Industri Wijayakusuma,,Kawasan Industri Wijayakusuma,,PT. Kawasan Industri Wijayakusuma (Persero),,,"(Broken) https://regionalinvestment.bkpm.go.id/pir/kawasan-industris
https://directorsdirectory.com/kawasan-industri-wijayakusuma/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://kiw.co.id/
https://izin.semarangkota.go.id/kawasan
https://www.kendalindustrialpark.co.id/page/index/17/micro-infrastructure?p=3"
Tanjung Emas Export Processing Zone,Tanjung Emas Export Processing Zone,,,PT. Lamicitra Nusantara Tbk,,,"https://directorsdirectory.com/tanjung-emas-export-processing-zone/
https://www.lamicitra.com/projects.php?cID=1&csID=4
https://business-indonesia.org/files/estates/BxDiZNKU1mcDeweU2SScDvAGKBIQ9Dt7wrhXwOVN.pdf"
BSB Industrial Park,BSB Industrial Park,,,PT. Karyadeka Alam Lestari,,,"https://www.facebook.com/bsbcitysmg
https://directorsdirectory.com/bsp-bukit-semarang-baru-industrial-park/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.bsbcity.com/
https://business-indonesia.org/files/estates/kR7rn2n842U9VuTapI3CK5yvfBzd70yYIe3fIrKS.pdf"
Kawasan Industri Terboyo Semarang,,Kawasan Industri Terboyo Semarang,,PT. Merdeka Wirastama,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
https://izin.semarangkota.go.id/kawasan
https://ppid.dpmptsp.jatengprov.go.id/sarpras/1/33
https://directorsdirectory.com/terboyo-industrial-estate/ 
https://nasional.kompas.com/read/2009/09/08/2253548/pemkot.semarang.panggil.pengelola.kawasan.industri.terboyo?source=autonext"
Kawasan Industri Piyungan Creative Economy Park,,Kawasan Industri Piyungan Creative Economy Park,,PT. Yogyakarta Isti Parama,,,"https://jogjapolitan.harianjogja.com/read/2021/06/03/511/1073448/kawasan-industri-piyungan-melempem-bupati-bantul-tegur-pengelola
https://dpmptsp.bantulkab.go.id/web/potensi_investasi/detail/18-sektor-infrastruktur
https://bantulkab.go.id/berita/detail/2438/pt-yogyakarta-isti-parana--siap-kembangkan-industri-piyungan.html
https://jogjaprov.go.id/berita/piyungan-kreatif-ekonomi-park-bantu-pertumbuhan-ekonomi-diy
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan"
Kawasan Industri Gresik,,Kawasan Industri Gresik,,PT. Kawasan Industri Gresik,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.kig.co.id/EN/location/gresik/
https://business-indonesia.org/data-business-result?business=Kawasan%20Industri%20Gresik
https://business-indonesia.org/files/estates/90VwI51ZOyIF4u5VfrWCos9EMWONbIfQZl8SKbGV.pdf
https://kig.co.id/EN/company/#about-kig"
Maspion Industrial Estate,Maspion Industrial Estate,,,PT. Maspion Industrial Estate,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
http://www.maspionindustrialestate.com/
https://point.jatimprov.go.id/public-kawasan-detail/4648"
Java Integrated Industrial and Port Estate / KEK Gresik,Java Integrated Industrial and Port Estate / KEK Gresik,,,PT. Berkah Kawasan Manyar Sejahtera,Zheijang Hailing Co,,"https://www.jiipe.com/asset/brochure/729a46dc81Desktop%20Version%20Revisi-08.pdf
https://en.wikipedia.org/wiki/Java_Integrated_Industrial_and_Port_Estate
https://jakartaglobe.id/special-updates/freeports-manyar-smelter-to-pave-way-for-indonesias-ev-ecosystem
https://www.marketscreener.com/quote/stock/PT-AKR-CORPORINDO-TBK-9059246/news/PT-AKR-Corporindo-Tbk-Hebang-Group-to-invest-USD-800-Million-in-SEZ-JIIPE-Term-Sheet-signed-for-Jo-44748486/
https://www.akr.co.id/news-detail/pt-hailiang-nova-material-indonesia-signs-binding-land-sale-and-purchase-agreement-for-building-copper-foil-production-factory-in-jiipe-sez
https://en.prnasia.com/releases/apac/indonesia-4-0-jiipe-designated-special-economic-zone-by-president-widodo-324504.shtml
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
http://www.jiipe.com
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://en.antaranews.com/news/279936/minister-urges-freeport-to-expedite-smelter-construction
https://www.akr.co.id/storage/reports/vzxx0YyhHxPwT4D0zRid38rjE2LEfkgfqkLEKC3r.pdf
https://www.gem.wiki/Gresik_AKR_Estate_power_station
https://www.jiipe.com/home/blogDetail/364 
https://ekonomi.bisnis.com/read/20231111/9/1713301/kawasan-ekonomi-khusus-jiipe-gresik-tarik-investasi-rp52-triliun"
Ngoro Industrial Park,Ngoro Industrial Park,,,PT. Intiland Sejahtera,PT Intiland Sejahtera,RSEA Engineering Corp,"(Broken) https://regionalinvestment.bkpm.go.id/pir/kawasan-industris
(Archived link, 6/8/23) https://web.archive.org/web/20230608154507/https://dpm-ptsp.surabaya.go.id/v3/po-content/po-upload/SIER-2.pdf
https://www.youtube.com/watch?v=vKbW6EKZvMw
https://point.jatimprov.go.id/public-kawasan-detail/5884
https://www.sinarharapan.co/ekonomi/pr-3853520635/surabaya-industrial-estate-rungkut-putuskan-bangun-spklu-ini-pertimbangannya
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://sier.id/
https://in.marketscreener.com/quote/stock/PT-KAWASAN-INDUSTRI-JABAB-6497000/news/PT-Kawasan-Industri-Jababeka-Tbk-Jababeka-Inaugurates-LNG-Plant-in-Pasuruan-Industrial-Estate-Remb-45475015/ 
https://www.antaranews.com/berita/3740247/pln-siap-penuhi-kebutuhan-listrik-kawasan-pier "
Pasuruan Industrial Estate Rembang / Kawasan Industri PIER,Pasuruan Industrial Estate Rembang / Kawasan Industri PIER,,,PT. Surabaya Industrial Estate Rungkut (PT. SIER),,,"(Broken) https://regionalinvestment.bkpm.go.id/pir/kawasan-industris
(Archived link, 6/8/23) https://web.archive.org/web/20230608154507/https://dpm-ptsp.surabaya.go.id/v3/po-content/po-upload/SIER-2.pdf
https://www.youtube.com/watch?v=vKbW6EKZvMw
https://point.jatimprov.go.id/public-kawasan-detail/5884
https://www.sinarharapan.co/ekonomi/pr-3853520635/surabaya-industrial-estate-rungkut-putuskan-bangun-spklu-ini-pertimbangannya
https://kemenperin.go.id/kawasan
https://sier.id/
https://in.marketscreener.com/quote/stock/PT-KAWASAN-INDUSTRI-JABAB-6497000/news/PT-Kawasan-Industri-Jababeka-Tbk-Jababeka-Inaugurates-LNG-Plant-in-Pasuruan-Industrial-Estate-Remb-45475015/ 
https://www.antaranews.com/berita/3740247/pln-siap-penuhi-kebutuhan-listrik-kawasan-pier "
Sidoarjo Industrial Estate Berbek,Sidoarjo Industrial Estate Berbek,,, PT. Surabaya Industrial Estate,,,"(Broken) https://www.industrialestateindonesia.com/files/estates/527mT4VT9CvRFJKaE5WHzkritrpbs28dXwFpDqUA.pdf
http://dpm-ptsp.surabaya.go.id/v3/po-content/po-upload/sier-brosur.pdf
(Archived link, 6/8/23) https://web.archive.org/web/20230608154507/https://dpm-ptsp.surabaya.go.id/v3/po-content/po-upload/SIER-2.pdf
https://id.wikipedia.org/wiki/Surabaya_Industrial_Estate_Rungkut
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://sier.id/assets/document/laporan-tahunan-2016-tahunan.pdf "
Kawasan Industri Safe N Lock,,Kawasan Industri Safe N Lock,,PT. Makmur Berkah Ananda,,,"https://drive.google.com/file/d/1WMlgj1tyb-8UHCm9TMI2ZqFjNY-dvA6h/view
https://safe-n-lock.com/wp-content/uploads/2021/04/HIPS-Kawasan-Industri-Halal-SAFE-n-LOCK.pdf
https://oss.go.id/informasi/lokasi-usaha?tab=ki&page=1
https://hki-industrialestate.com/members
https://suryamalang.tribunnews.com/2022/12/02/pln-perbaiki-gi-buduran-tanpa-pemadaman
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://safe-n-lock.com/#about"
Kawasan Industri SiRIE,,Kawasan Industri SiRIE,,PT. Bhumi Kencana Sejahtera,,,"https://sirie.co.id/brosur-sirie.pdf
https://www.instagram.com/sirieindustrialestate/?hl=en
https://www.youtube.com/channel/UC8regL6KvYcqhTRB73DcAhQ
https://suryamalang.tribunnews.com/2022/12/02/pln-perbaiki-gi-buduran-tanpa-pemadaman
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://sirie.co.id/en/about/"
Kawasan Industri Tuban,,Kawasan Industri Tuban,,PT. Kawasan Industri Gresik,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.kig.co.id/EN/location/tuban/
https://point.jatimprov.go.id/public-kawasan-detail/4645 "
Surabaya Industrial Estate Rungkut,Surabaya Industrial Estate Rungkut,,,PT. Surabaya Industrial Estate Rungkut (PT. SIER),,,"(Archived link, 6/8/23) https://web.archive.org/web/20230608154507/https://dpm-ptsp.surabaya.go.id/v3/po-content/po-upload/SIER-2.pdf
https://www.sinarharapan.co/ekonomi/pr-3853520635/surabaya-industrial-estate-rungkut-putuskan-bangun-spklu-ini-pertimbangannya
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.sier-pier.com"
Kawasan Industri Nikomas Gemilang,,Kawasan Industri Nikomas Gemilang,,PT. Nikomas Gemilang,Pou Chen,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.linkedin.com/company/pt-nikomas-gemilang-iy-division/about/
https://www.klob.id/company/pt-nikomas-gemilang-(pcc-group)/crp000503
https://www.pouchen.com/index.php/en/sitemap
https://kibinmedia.blogspot.com/2015/12/sekilas-tentang-pt-nikomas-gemilang.html "
Modern Cikande Industrial Estate,Modern Cikande Industrial Estate,,,PT. Modern Industrial Estate,,,"https://directorsdirectory.com/modern-cikande-industrial-estate/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.modern-cikande.co.id/"
Kawasan Industri Terpadu Wilmar,,Kawasan Industri Terpadu Wilmar,,PT. Kawasan Industri Terpadu Wilmar,,,"https://kppip.go.id/proyek-strategis-nasional/s-pembangunan-kawasan-industri-prioritas-kawasan-ekonomi-khusus/kawasan-industri-wilmar-serang/
https://seputarcibubur.pikiran-rakyat.com/ekonomi-bisnis/pr-1785758260/wilmar-kembangkan-kawasan-industri-terpadu-di-serang-banten
https://ekonomi.bisnis.com/read/20221028/47/1592615/jadi-psn-wilmar-investasi-rp152-triliun-di-kawasan-industri-serang
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://kawasanindustriterpaduwilmarserang.co.id/tentang-kami/
https://banten.antaranews.com/berita/171238/pln-rampungkan-proyek-gardu-induk-untuk-kawasan-industri-terpadu-wilmar
https://www.antaranews.com/berita/3209093/kawasan-industri-terpadu-wilmar-siap-tarik-investor"
Millennium Industrial Estate,Millennium Industrial Estate,,,PT. Bumi Citra Permai,,,"https://directorsdirectory.com/millennium-industrial-estate/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://bumicitrapermai.com/
(Broken) https://bumicitrapermai.com/media/
https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/201905/f9cfcd8374_a02ca855ab.pdf 
https://industri.kontan.co.id/news/bumi-citra-ingin-tambah-landbank-100-ha-di-cikupa 
https://www.multifab.co.id/news/29 
https://wikimapia.org/11392462/Millennium-Industrial-Estate
https://finance.detik.com/berita-ekonomi-bisnis/d-866417/pln-jamin-listrik-kawasan-industri-millenium-cikupa"
Kawasan Industri Pasar Kemis,,Kawasan Industri Pasar Kemis,,PT. Putera Daya Perkasa,,,"https://manufakturindo.com/company/detail/pt-putera-daya-perkasa.html
https://www.inilah.com/hakim-putuskan-direktur-pt-pdp-melawan-hukum
https://portalinvestigasi.co/peran-aktif-pt-indo-surya-kencana-dalam-hal-perbaikan-infrastruktur-jalan-di-kawasan-industri/
https://www.merdeka.com/uang/7-tahun-tak-buat-laporan-keuangan-bos-pt-pdp-didenda-rp-77-miliar.html
https://tangerangnews.com/kabupaten-tangerang/read/33592/3-Tahun-Jalan-Kawasan-Industri-Pasar-Kemis-Dibiarkan-Rusak-Parah
https://indoposco.id/megapolitan/2023/04/08/gudang-penyimpanan-benang-di-tangerang-terbakar
https://news.republika.co.id/berita/rt0c8o330/pasar-kemis-paling-berpolusi-di-asia-tenggara-dlhk-tangerang-datanya-tidak-valid
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate"
Kawasan Industri dan Pergudangan Cikupamas,,Kawasan Industri dan Pergudangan Cikupamas,,PT. Mitratangerang Bhumimas,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://cikupamas.com/
https://pjtprima.wordpress.com/preface/company-profile/factory-profile/
https://www.naturaagritek.com/contact-us/
https://tender-indonesia.com/newsrectory/direktori.php?MemberId=2371
https://www.industry.co.id/read/46587/dalam-waktu-dua-tahun-pabrik-vivo-mobile-indonesia-berhasil-lampaui-standar-tkdn
https://klikalamat.com/pabrik-kawasan-industri-cikupamas-tangerang/?tevolution_sortby=rating"
Kawasan Industri Purati Kencana Alam,,Kawasan Industri Purati Kencana Alam,,PT. Purati Kencana Alam,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.google.com/maps/search/Kawasan+Industri+Purati+Kencana+Alam/@-6.2081673,106.4927518,909m/data=!3m1!1e3?entry=ttu
https://market.bisnis.com/read/20210512/192/1393333/calon-emiten-harapan-duta-pertiwi-dapat-kode-saham-hope
"
Griya Idola Industrial Park,Griya Idola Industrial Park,,,PT. Jabar Utama Wood Industry,,,"(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.griyaidolaindustrialpark.com/"
Kawasan Industri Sumber Rezeki,,,,PT. Irama Gemilang Lestari,,,"https://detakbanten.com/today/proyek-pembangunan-kawasan-industri-di-cileles-tigaraksa-dikeluhkan-warga
https://benuanews.com/pt-igl-irama-gemilang-lestari-telah-memenuhi-panggilan-komisi-iv-dprd-kabupaten-tangerang/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://sumberrezeki.co.id/index.php"
Krakatau Industrial Estate Cilegon,Krakatau Industrial Estate Cilegon,,,PT. Krakatau Industrial Estate Cilegon,Lotte Group,,"https://dinsights.katadata.co.id/read/2023/06/14/krakatau-industrial-estate-sold-94-of-its-landbank
https://ekonomi.bisnis.com/read/20190102/47/874696/kiec-kembangkan-kawasan-industri-iii-420-hektare
https://en.antaranews.com/news/256333/ksp-invites-south-korean-companies-to-invest-in-cilegon-estate
https://www.antaranews.com/berita/3585459/kawasan-industri-yang-dikelola-pt-ksp-tersisa-40-hektare
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://kiec.co.id/id/
https://kiec.co.id/en/industrial-area-3/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://business-indonesia.org/files/estates/XqRIF7ytNNH618MbKBFjEY7Va1y02Ov9Tf968LY7.pdf
https://kce.co.id/product/energy"
Kawasan Industri Pancapuri,,Kawasan Industri Pancapuri,,PT. Pancapuri,Nippon Shokubai,,"https://www.bantennews.co.id/pt-pancapuri-indoperkasa-sesalkan-pemblokiran-akses-proyek-oleh-warga-cilodan/
https://bantenhits.com/2015/08/27/warga-cilegon-tolak-pembangunan-kawasan-industri-pt-pancapuri-indoperkasa/  
https://www.bantennews.co.id/lahan-belum-dibebaskan-warga-cilodan-blokir-jalan-pt-pancapuri-indoperkasa/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://kiec.co.id/id/2018/04/12/mou-pancapuri-cap/
https://www.chandra-asri.com/
https://www.shokubai.co.jp/en/company/nsi/
https://www.shokubai.co.jp/en/company/history/
https://www.cleanenergyministerial.org/content/uploads/2022/03/pt-nippon-indonesia.pdf
"
